WKT;ID_NOM;NOM;ESPECE;cd_nom;Sensibilit;2012;2013;2014;2015;2016;2017;2018;2019;1974;1977;1992;1994;2004;2005;2006;2007;2009;2010;2011;2020;2021;2022;2023;2024;2025
"MULTIPOLYGON (((820830.78691763 6360413.79702653,820833.953164192 6360398.48520345,820841.715370686 6360383.23411571,820847.991941094 6360369.49420215,820852.887614987 6360334.38726012,820856.759926958 6360319.86862828,820863.677865964 6360299.32998752,820869.995591529 6360278.69656102,820881.615342294 6360258.91706018,820894.053821324 6360241.42830339,820906.652928625 6360219.34273609,820915.162354639 6360197.99132697,820926.057310164 6360175.22097636,820937.697783977 6360146.15051599,820964.423753989 6360117.90826998,821088.077811376 6360013.5034826,821111.036112395 6359966.83484208,821120.688743422 6359891.01525185,821071.89826125 6359773.24044818,821045.359662592 6359743.83481775,821046.472666956 6359718.7297297,821027.666322013 6359713.3428731,821000.427306332 6359720.35727095,820942.024142091 6359741.84892101,820906.61824667 6359747.45048609,820871.260639126 6359750.54053194,820852.855328357 6359757.09695544,820827.591344254 6359759.75284162,820802.532206694 6359751.73405998,820747.750175029 6359748.79868436,820717.175031951 6359747.79893737,820701.376017791 6359734.71809261,820689.789393655 6359714.39480268,820674.73926783 6359710.33734004,820661.687727618 6359700.66474316,820611.756416952 6359641.91668488,820574.423901268 6359649.36781303,820565.116638283 6359641.65154977,820568.555764212 6359626.64132924,820541.809843743 6359607.91222444,820517.745533103 6359613.73326194,820488.238630301 6359607.51496295,820347.634145801 6359774.42993165,820241.972489718 6359792.63580075,820221.194015052 6359816.18966634,820200.861080283 6359845.13438301,820186.324829511 6359862.64100414,820174.591558626 6359880.82304654,820160.500847616 6359903.72051909,820139.580465522 6359934.06885496,820121.820246022 6359945.86200654,820112.242502094 6359966.26730672,820104.525298869 6359999.09709697,820112.484942599 6360036.15160438,820130.015225787 6360067.10727524,820128.418913599 6360109.47513931,820144.403728185 6360138.83071731,820149.347501392 6360168.76062063,820151.718829067 6360209.63325009,820160.795033354 6360229.43493289,820163.540778196 6360250.68600109,820190.116231987 6360303.01197032,820171.463273439 6360330.92041392,820161.736648933 6360386.47832863,820180.663855089 6360422.17575896,820275.392775727 6360421.50178271,820324.086061162 6360429.88411345,820454.017785107 6360420.50424804,820490.160566747 6360417.99843665,820546.638760165 6360392.41508949,820573.986037659 6360370.08765896,820606.419595847 6360321.20274611,820644.797490431 6360323.07352435,820678.201428383 6360315.69590274,820679.685065681 6360325.67335124,820681.014032465 6360340.94686646,820686.427573212 6360354.88686255,820689.547816031 6360369.34590607,820692.40242836 6360387.80325018,820700.032357909 6360403.92217962,820709.664417373 6360420.5235523,820718.998722514 6360450.86018512,820739.811008579 6360431.3888975,820754.376718574 6360425.70719902,820787.313712047 6360423.8554888,820812.220349368 6360424.83037127,820830.78691763 6360413.79702653)))";34;Remparts du Garn;Aigle de Bonelli;2656;15 janvier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui
"MULTIPOLYGON (((815967.50685673 6363932.30287074,815906.707637614 6363901.97237354,815848.115150436 6363825.11239303,815804.071624762 6363814.89803714,815723.881475355 6363818.47823819,815684.107930731 6363868.59550332,815687.272035897 6363922.77852167,815750.730740771 6363991.83204177,815817.380165667 6364077.76127666,815869.113461295 6364135.42067701,815973.155852677 6364157.65238763,816026.918553134 6364122.69530484,816064.111808423 6364104.95109247,816190.823271037 6364095.66762516,816229.656449551 6363991.49451954,816262.004667099 6363883.62538753,816207.814798165 6363842.15648039,816072.932646818 6363936.89487797,815967.50685673 6363932.30287074)))";10;Cirque de Gaud;Faucon pelerin;2938;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((817748.062450707 6361224.2013735,817712.801480781 6361233.86329606,817689.729857667 6361252.74291383,817677.658958412 6361290.80619141,817665.712639333 6361322.212694,817666.878537852 6361349.20296348,817660.412818195 6361373.38691694,817638.725577244 6361407.60743217,817611.603630801 6361428.74166165,817589.250702459 6361444.97095345,817573.900039543 6361478.91919768,817584.883863544 6361548.65642482,817618.519537963 6361591.92670868,817664.153851942 6361624.70506576,817731.189980136 6361611.74791124,817740.873326305 6361522.76851464,817784.666552672 6361449.71101253,817839.975957222 6361430.26349853,817874.802043866 6361386.77533873,817899.068391036 6361334.2406346,817748.062450707 6361224.2013735)))";16;Richemale;Faucon pelerin;2938;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui
"MULTIPOLYGON (((815619.489281022 6367257.27588631,815857.907789599 6367154.22901875,815840.989714372 6367109.81907127,815806.448644118 6367036.50741192,815745.825541222 6366942.75307833,815673.571261608 6366823.62163189,815653.128587376 6366746.78537353,815629.86623394 6366668.53927557,815622.112116129 6366590.99809742,815176.77233204 6366862.03572336,815222.024384128 6366861.65027938,815232.661322144 6366878.94252047,815257.214179744 6366899.71267985,815257.51198571 6366934.67563459,815261.274605036 6366965.91272571,815286.035078512 6367011.05706149,815317.431627233 6367014.28618166,815342.013418527 6367038.45274312,815387.602767156 6367065.93691494,815391.337310697 6367093.87750107,815402.389484711 6367159.91809976,815430.527138518 6367191.04747347,815462.013035118 6367204.76547922,815490.001785138 6367218.4133714,815531.679609666 6367197.17896407,815573.85146549 6367245.67154254,815619.489281022 6367257.27588631)))";11;Vallon du Tiourre;Faucon pelerin;2938;1er fevrier-30 juin;non;non;non;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;non;
"MULTIPOLYGON (((820257.93422257 6360958.18662208,820285.523895142 6361084.63139786,820341.175409825 6361141.39271034,820366.07279141 6361155.30517907,820344.426147324 6361112.15328703,820302.626653325 6361060.46107119,820257.93422257 6360958.18662208)))";17;Cirque Madeleine;Vautour percnoptere;2856;1er mars - 30 septembre;non;non;non;non;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((815545.29890512 6372807.13893027,815591.350311712 6372806.74666171,815663.688461267 6372807.82880921,815699.273910494 6372810.22303691,815745.632145022 6372798.93884929,815811.245357666 6372784.59348862,815832.290265894 6372768.82953672,815840.661818153 6372707.81810824,815839.822803355 6372609.32205472,815842.270120156 6372568.24155946,815858.047819726 6372497.07696915,815898.008487166 6372368.06304245,815914.275467895 6372354.33783005,815911.268239978 6372329.68770128,815887.889330657 6372306.01031933,815872.57243415 6372267.0791897,815866.588949693 6372209.68662649,815866.402596273 6372187.80972141,815830.577716724 6372169.03364492,815775.958376084 6372172.196253,815713.117563193 6372183.62083756,815661.172399671 6372184.06331364,815617.418588806 6372184.4360131,815565.21730226 6372154.81022832,815532.283074254 6372146.99871836,815526.577850273 6372122.27167223,815518.217680218 6372114.25083959,815496.696791753 6372144.5045926,815494.062266718 6372163.6082752,815494.062266718 6372163.6082752,815436.794525297 6372144.63908009,815409.274094543 6372132.10938609,815296.617665661 6372156.49434335,815298.235912833 6372199.81071983,815317.356813997 6372271.60875232,815316.782972177 6372333.25305091,815426.615087222 6372443.5082216,815510.9705273 6372530.10386867,815533.399337023 6372606.43761338,815532.982410361 6372674.77401301,815524.30843452 6372712.01137849,815513.249239615 6372738.97917352,815485.699951841 6372788.66524637,815545.29890512 6372807.13893027)))";12;Rocher de la vielle;Faucon pelerin;2938;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui
"MULTIPOLYGON (((814324.69989488 6374555.02938468,814277.821955215 6374669.51670165,814251.847730127 6374751.6575493,814240.767527117 6374823.08193698,814234.289940916 6374930.53174686,814238.148506335 6375008.22263684,814242.760043361 6375174.32039607,814242.621421596 6375298.79948968,814264.424813892 6375360.35323819,814301.085152072 6375395.1066084,814324.940896973 6375463.03661018,814338.22721134 6375509.87740478,814358.540892079 6375537.2773517,814417.733025773 6375601.80942797,814463.937486395 6375654.56378068,814521.86707981 6375711.61395743,814567.83621212 6375725.00890588,814648.361319127 6375678.56790312,814685.203969044 6375640.89073261,814714.701543882 6375597.0821969,814741.791776593 6375540.4068034,814736.180835607 6375503.29103652,814686.941397748 6375469.54393552,814661.269128542 6375446.38552165,814594.540637907 6375376.722748,814552.875343803 6375340.81319089,814521.046916419 6375239.98343922,814491.89724675 6375183.88697949,814470.184886141 6375133.0219823,814429.237081417 6375087.5157241,814416.160767747 6375041.87198037,814413.463647513 6374983.25247825,814416.071507163 6374914.0980856,814434.707967278 6374838.41344979,814495.463262489 6374734.59732956,814539.880874467 6374694.85763167,814612.723228846 6374626.10406142,814631.830694806 6374617.44964824,814648.595833124 6374591.83185055,814625.620422115 6374521.69655674,814594.354760943 6374475.20873971,814565.231134429 6374433.89758088,814535.262563733 6374410.67587321,814481.983295164 6374395.24525769,814426.813144772 6374427.58388,814396.398665559 6374469.30223985,814372.13291184 6374493.98489677,814347.867157237 6374518.66755371,814324.69989488 6374555.02938468)))";19;Font Garou;Vautour percnoptere;2856;1er mars - 30 septembre;non;non;non;non;non;non;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((817327.328295234 6373332.52729693,817302.840971097 6373190.47565089,817227.83247363 6373145.65932427,817169.050108242 6373082.322819,817094.23557768 6373001.64007122,817086.291791314 6372972.13679836,817059.934534965 6372927.20570557,817002.005808541 6372870.25564863,816921.289593848 6372706.6047585,816833.354640099 6372573.38834017,816754.678259723 6372533.04147844,816733.832381162 6372500.76398906,816693.48551943 6372136.29733808,816632.965226833 6372032.74039297,816505.200164683 6371985.66905428,816373.40041636 6372052.91382384,816612.223087344 6372721.82530809,816747.040037079 6372985.61649833,816873.913777196 6373079.24262054,816962.965572489 6373154.2095924,817115.427034547 6373272.79299013,817327.328295234 6373332.52729693)))";29;Fontbelle;Vautour percnoptere et vautour fauve;28602856;reposoir;oui;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;oui;;;;non;
"MULTIPOLYGON (((812868.121748965 6365071.87607081,812578.151126044 6365099.46612603,812298.293447478 6365232.27218538,812166.599795577 6365475.39892745,812159.846274965 6365653.52303361,812161.260431565 6365704.87171735,812192.769687939 6365765.37821877,812270.435174955 6365800.83420199,812393.686926092 6365741.74089662,812516.938677228 6365745.11765693,812624.995006991 6365770.44335923,812623.306626837 6365885.25320965,812655.385849734 6366032.14228298,812624.995006987 6366184.09649677,812719.544295529 6366207.73381892,812818.314534453 6366206.46753381,813033.583003904 6366131.33461699,813129.8206726 6366067.17617116,813131.509052754 6365939.70346959,813085.922788636 6365836.71228024,813015.01082223 6365741.31880158,812985.464169561 6365695.73253744,812982.931599333 6365608.78095955,812987.152549715 6365531.1154725,813022.60853292 6365387.60315947,813096.053069557 6365293.05387089,813088.455358871 6365220.45352429,813019.231772617 6365155.4508884,812868.121748965 6365071.87607081)))";20;Pont d'arc;Vautour percnoptere;2856;1er mars - 30 septembre;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((819916.892929619 6361117.1950259,819926.098473909 6361118.91480195,819941.59306679 6361120.08148328,819963.968409716 6361119.79091894,819984.837685875 6361118.61407888,820009.424310072 6361119.9030867,820024.119753229 6361121.07657679,820044.910415991 6361122.39793007,820061.894902685 6361122.55290459,820074.153740543 6361119.15171214,820078.324892903 6361104.53062657,820076.210401686 6361090.86221132,820076.411341646 6361079.2719863,820079.094603964 6361054.17397793,820083.401702192 6361032.05916199,820094.771461438 6361006.38762995,820107.297934023 6360987.49950726,820120.810575081 6360967.10446688,820131.945344765 6360949.02741127,820145.29650265 6360933.1292905,820156.203944548 6360923.54575388,820176.549363896 6360907.78783491,820195.323722684 6360895.24013399,820211.619465466 6360884.91137507,820241.244783389 6360867.87556707,820273.86946536 6360851.11390282,820297.878302937 6360843.21694091,820320.568092466 6360832.93359589,820341.492142003 6360826.46153339,820365.414704841 6360820.16372087,820419.706400414 6360790.33019683,820537.145975702 6360738.28004861,820580.142866883 6360707.74356179,820585.169641866 6360688.0202398,820568.513527328 6360667.78238424,820544.753597842 6360657.9947622,820521.820909417 6360651.49682145,820501.197693494 6360646.37781324,820485.770651971 6360641.41432731,820460.300315347 6360641.93107595,820420.985914094 6360635.67263125,820335.866277556 6360635.19916222,820326.87609849 6360658.75249207,820291.826134744 6360695.71481235,820213.656141989 6360737.04061104,820153.444327813 6360763.82764331,820126.028890373 6360770.55481934,820088.024170654 6360765.58391663,820056.60222063 6360759.35810835,820030.396572911 6360767.37368589,819910.528277228 6360839.22487582,819864.889016517 6360864.48910973,819846.620081951 6360877.73180578,819844.175758235 6360907.42321858,819846.949193073 6360928.07908471,819847.406346234 6360946.55686715,819851.684996508 6360967.99911554,819855.133002776 6360985.75210652,819858.720361289 6360996.4109417,819866.265712495 6361014.3288212,819869.793183951 6361029.68351237,819875.825659272 6361045.9159671,819880.052386961 6361061.26470018,819888.22263725 6361082.17428475,819916.892929619 6361117.1950259)))";14;Falaise des Templiers;Faucon pelerin;2938;1er fevrier-30 juin;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
