time,count,site,month
2015-03-16 00:00:00,0.0,chanet,2015-03
2015-03-17 00:00:00,0.0,chanet,2015-03
2015-03-18 00:00:00,0.0,chanet,2015-03
2015-03-19 00:00:00,0.0,chanet,2015-03
2015-03-20 00:00:00,0.0,chanet,2015-03
2015-03-21 00:00:00,0.0,chanet,2015-03
2015-03-22 00:00:00,0.0,chanet,2015-03
2015-03-23 00:00:00,0.0,chanet,2015-03
2015-03-24 00:00:00,0.0,chanet,2015-03
2015-03-25 00:00:00,0.0,chanet,2015-03
2015-03-26 00:00:00,0.0,chanet,2015-03
2015-03-27 00:00:00,0.0,chanet,2015-03
2015-03-28 00:00:00,0.0,chanet,2015-03
2015-03-29 00:00:00,0.0,chanet,2015-03
2015-03-30 00:00:00,0.0,chanet,2015-03
2015-03-31 00:00:00,0.0,chanet,2015-03
2015-04-01 00:00:00,0.0,chanet,2015-04
2015-04-02 00:00:00,145.0,chanet,2015-04
2015-04-03 00:00:00,22.0,chanet,2015-04
2015-04-04 00:00:00,29.0,chanet,2015-04
2015-04-05 00:00:00,86.0,chanet,2015-04
2015-04-06 00:00:00,80.0,chanet,2015-04
2015-04-07 00:00:00,22.0,chanet,2015-04
2015-04-08 00:00:00,28.0,chanet,2015-04
2015-04-09 00:00:00,7.0,chanet,2015-04
2015-04-10 00:00:00,13.0,chanet,2015-04
2015-04-11 00:00:00,20.0,chanet,2015-04
2015-04-12 00:00:00,46.0,chanet,2015-04
2015-04-13 00:00:00,48.0,chanet,2015-04
2015-04-14 00:00:00,41.0,chanet,2015-04
2015-04-15 00:00:00,37.0,chanet,2015-04
2015-04-16 00:00:00,11.0,chanet,2015-04
2015-04-17 00:00:00,16.0,chanet,2015-04
2015-04-18 00:00:00,85.0,chanet,2015-04
2015-04-19 00:00:00,22.0,chanet,2015-04
2015-04-20 00:00:00,18.0,chanet,2015-04
2015-04-21 00:00:00,33.0,chanet,2015-04
2015-04-22 00:00:00,43.0,chanet,2015-04
2015-04-23 00:00:00,48.0,chanet,2015-04
2015-04-24 00:00:00,16.0,chanet,2015-04
2015-04-25 00:00:00,12.0,chanet,2015-04
2015-04-26 00:00:00,21.0,chanet,2015-04
2015-04-27 00:00:00,1.0,chanet,2015-04
2015-04-28 00:00:00,69.0,chanet,2015-04
2015-04-29 00:00:00,21.0,chanet,2015-04
2015-04-30 00:00:00,27.0,chanet,2015-04
2015-05-01 00:00:00,17.0,chanet,2015-05
2015-05-02 00:00:00,42.0,chanet,2015-05
2015-05-03 00:00:00,38.0,chanet,2015-05
2015-05-04 00:00:00,21.0,chanet,2015-05
2015-05-05 00:00:00,32.0,chanet,2015-05
2015-05-06 00:00:00,47.0,chanet,2015-05
2015-05-07 00:00:00,36.0,chanet,2015-05
