WKT;ID_NOM;NOM;cd_nom;ESPECE;Sensibilit;2012;2013;2014;2015;2016;2017;2018;2019;1974;1977;1992;1994;2004;2005;2006;2007;2009;2010;2011;2020;2021;2022;2023;2024;2025
"MULTIPOLYGON (((4.51542894441485 44.3323167471574,4.51546495975875 44.332178396579,4.5155586164677 44.3320397986294,4.51563400870044 44.3319150575696,4.51568694296182 44.3315982557406,4.51573200113465 44.3314669217064,4.51581379736341 44.3312808824658,4.51588804452417 44.3310940938416,4.51602897544423 44.3309140741209,4.51618072250898 44.330754528997,4.51633337578726 44.3305535854951,4.51643492742567 44.3303599560294,4.5165660468465 44.3301531438991,4.51670499526927 44.3298895029793,4.51703328486801 44.3296307071687,4.51855848946566 44.3286696912189,4.51883508097301 44.3282457085883,4.51893781496145 44.3275616768168,4.51829770318731 44.3265101744057,4.517957890764 44.3262501225151,4.51796579337849 44.3260239894991,4.51772871494362 44.3259787627913,4.51738890252031 44.3260466028399,4.51666186198672 44.3262501225151,4.51621931557497 44.3263066556328,4.51577676916322 44.3263405754773,4.51554759334284 44.326402761808,4.51523148876302 44.3264310283002,4.5149153841832 44.3263631886961,4.51422785672208 44.3263462287829,4.51384428512339 44.326342508055,4.51364306324941 44.3262275092527,4.51349291357399 44.3260466028399,4.5133032508261 44.3260126828254,4.51313729592169 44.3259278827034,4.51249718414755 44.3254077726063,4.51203092989231 44.3254812667041,4.51191239067488 44.3254134260017,4.51195190374735 44.3252777443615,4.51161209132404 44.3251137952941,4.51131179197321 44.325170329507,4.51094036909192 44.3251194487179,4.50921759913188 44.3266458531954,4.50789723243573 44.3268278721225,4.50764236183041 44.327043423688,4.50739436569074 44.3273074147887,4.50721630633902 44.3274674687206,4.50707355041666 44.3276331195234,4.50690236518271 44.3278416131107,4.50664733265493 44.328118335853,4.50642748038275 44.3282275220553,4.50631227767483 44.3284128107082,4.50622337326176 44.328709598026,4.50633203421107 44.3290417153867,4.50655923437782 44.3293173007052,4.5065493561097 44.3296988782393,4.50675679974021 44.3299603280795,4.50682594761705 44.3302288429184,4.50686546068953 44.330596282285,4.50698399990696 44.3307729350071,4.50702351297944 44.3309637193495,4.50736925236362 44.3314300784625,4.50714205219687 44.3316844545975,4.50703339124756 44.3321861376301,4.50727925811884 44.3325041569644,4.50846687687216 44.3324818090531,4.5090794373436 44.3325488741221,4.51070636593653 44.3324420940248,4.51115894829725 44.3324133172392,4.51186096868613 44.3321733405234,4.51219850441578 44.3319676840879,4.51259343275631 44.3315221370655,4.51307508341263 44.3315323555511,4.51349214535989 44.3314601961409,4.51351314610723 44.3315497354107,4.51353348056928 44.3316869650115,4.51360470926824 44.331811488462,4.51364730833528 44.3319410788983,4.51368753811405 44.33210669915,4.51378708203875 44.3322504500889,4.51391184654282 44.3323981973449,4.51403618086122 44.3326696107647,4.51429245821445 44.332490780445,4.51447372683881 44.3324371317765,4.51488626823522 44.3324147798735,4.51519879938368 44.3324192522748,4.51542894441485 44.3323167471574)))";34;Remparts du Garn;2656;Aigle de Bonelli;15 janvier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui
"MULTIPOLYGON (((4.45526219877747 44.3648065673401,4.45449239922539 44.3645436734984,4.45373954386183 44.3638616393002,4.45318462245622 44.3637770065061,4.45217939753656 44.3638225076607,4.4516919662479 44.3642801503986,4.45174416215689 44.3647672789072,4.45255625612707 44.3653782624351,4.45341229694392 44.3661405945479,4.45407468328223 44.3666509616194,4.45538518711643 44.366833795972,4.45605163159242 44.3665102575913,4.45651416651717 44.3663443838204,4.45810178436677 44.3662397822683,4.45856485382959 44.3652957601226,4.45894569116585 44.3643195504615,4.45825622014797 44.3639553372687,4.45658593714264 44.3648303989085,4.45526219877747 44.3648065673401)))";10;Cirque de Gaud;2938;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.47696542330569 44.3401360514817,4.47652549860017 44.3402289438256,4.47624059498137 44.3404027420091,4.47609814317198 44.3407473403323,4.47595569136259 44.3410320069846,4.47597664015811 44.3412747216703,4.47590122449432 44.3414934636743,4.47563726967102 44.3418050947088,4.47530208894301 44.3419998632642,4.47502556484241 44.3421496847896,4.47484100559491 44.3424577981287,4.47499509280684 44.3430835830438,4.47542706434291 44.3434673573294,4.4760070608096 44.3437546844573,4.47684474226224 44.3436267885806,4.47694530889128 44.3428243484006,4.47747737879588 44.3421594606641,4.47816644547247 44.3419751168641,4.47859298282366 44.3415778571341,4.47888496222194 44.3411009577473,4.47696542330569 44.3401360514817)))";16;Richemale;2938;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui
"MULTIPOLYGON (((4.45166294245166 44.3947894891973,4.45463190298173 44.3938225515573,4.45440927043811 44.3934256579795,4.45395875119911 44.392771563808,4.45317613539446 44.3919378008394,4.45224169065473 44.3908775591273,4.4519673617016 44.3901894014103,4.45165732280128 44.3894890209999,4.45154210371831 44.3887924184373,4.44601477998579 44.3913053608194,4.4465826921463 44.3912944310855,4.44672018343892 44.3914483108233,4.44703314818008 44.3916311970813,4.44704492948501 44.3919458220543,4.44709934458208 44.3922263419444,4.44742052970202 44.3926285658075,4.44781536949807 44.3926524475514,4.44812948956242 44.3928658943764,4.44870806972947 44.3931057305909,4.44876138247811 44.3933565851827,4.4489153263626 44.3939491396439,4.44927569728554 44.3942246628505,4.44967408800944 44.3943429254674,4.45002856586679 44.3944611336791,4.450546834827 44.3942631290387,4.45108738772731 44.3946925982514,4.45166294245166 44.3947894891973)))";11;Vallon du Tiourre;2938;Faucon pelerin;1er fevrier-30 juin;non;non;non;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;non;
"MULTIPOLYGON (((4.5083765314672 44.3373148912351,4.50875280014046 44.3384481317997,4.50946428077243 44.3389494022581,4.50977983389119 44.339070328127,4.50949803521722 44.338685692222,4.50896147660434 44.3382276606888,4.5083765314672 44.3373148912351)))";17;Cirque Madeleine;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.4520128561929 44.4447523039609,4.45259134511909 44.4447411492404,4.45350043541393 44.4447389067887,4.45394807675182 44.4447545586386,4.45452789922312 44.4446453111114,4.45534892469642 44.4445053145017,4.45560967551198 44.4443599407092,4.45570072020617 44.443809423751,4.45566736410756 44.4429230585351,4.45568859498248 44.4425529114006,4.45587032851293 44.4419097831894,4.45634246282276 44.4407419735779,4.4565436418887 44.4406157404786,4.45650014978051 44.440394378957,4.45620095907561 44.4401851545631,4.45599951742042 44.439837301604,4.45591105345493 44.4393217392477,4.45590364451166 44.4391248695269,4.45544924561361 44.438961822373,4.45476382304079 44.4389993471357,4.45397702866013 44.4391125914011,4.45332456870543 44.4391251817166,4.45277499644034 44.4391357836254,4.45211237112901 44.4388777829731,4.45169683139302 44.4388129272834,4.45161944853316 44.4385913182069,4.45151257220531 44.4385205109243,4.45124920415669 44.4387963673479,4.45122051921125 44.4389687439212,4.45122051921125 44.4389687439212,4.45049671534912 44.4388074852527,4.45014809988241 44.4386992629949,4.44873848082138 44.4389373516976,4.44876879520981 44.4393269493003,4.44902555682537 44.4399700025052,4.4490325607169 44.4405249210852,4.45043781017131 44.4414991113685,4.45151757296809 44.4422645547749,4.45181698547377 44.4429478782368,4.4518275345458 44.4435630030853,4.45172716099511 44.4438995903615,4.4515944470062 44.4441441418763,4.45125980174881 44.4445958955666,4.4520128561929 44.4447523039609)))";12;Rocher de la vielle;2938;Faucon pelerin;1er fevrier-30 juin;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;non;oui;oui;oui;oui;oui;oui
"MULTIPOLYGON (((4.43707717575237 44.4606851333535,4.43651422178053 44.4617232564461,4.43620656650225 44.4624668198659,4.43608364034868 44.4631114907595,4.43602679235532 44.4640796560806,4.43609304755853 44.4647782835998,4.43618897990661 44.4662724971852,4.43621569732882 44.4673928988493,4.43650381715003 44.4679433458379,4.43697255013423 44.4682501406387,4.43728793700867 44.4688576393394,4.43746565408616 44.4692770549822,4.43772725360229 44.4695203404155,4.43848603672323 44.4700914603873,4.43907888733647 44.4705587000881,4.4398201132938 44.4710626770481,4.44040100127799 44.4711756921987,4.44140251909565 44.4707444708117,4.44185696721008 44.4703993010174,4.44221767860589 44.4700001514489,4.44254517134531 44.4694855880288,4.44246612252946 44.4691524489121,4.44183947449541 44.4688568019985,4.44151148102135 44.4686525830502,4.44065678551818 44.4680365429829,4.44012486236563 44.4677201792574,4.43970170419262 44.4668178822531,4.43932247698478 44.466317767795,4.43903793069215 44.4658635180487,4.43851285718058 44.4654606537667,4.43833805776805 44.4650519801663,4.43829073820241 44.4645248159953,4.43830768100009 44.4639019625912,4.43852457448629 44.4632177054498,4.43926435746035 44.4622733409299,4.43981347717027 44.4619083741453,4.44071316526992 44.4612775972292,4.4409513129992 44.4611965646977,4.4411561316406 44.4609632374287,4.44085130486924 44.4603357585506,4.44044772200157 44.4599224795453,4.44007225075602 44.4595554400208,4.43969031123605 44.4593513520953,4.43901721312551 44.4592212109786,4.43833129159042 44.4595213230746,4.43795861828788 44.4599017957606,4.43765931428688 44.4601279295476,4.43736000788115 44.460354062545,4.43707717575237 44.4606851333535)))";19;Font Garou;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;non;non;non;oui;oui;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.47452503743125 44.4491837560181,4.47418403587271 44.4479093518592,4.47323109079982 44.4475185888881,4.47247768830483 44.4469584055214,4.47151880929541 44.4462447838492,4.47141209495985 44.4459805755871,4.4710704244046 44.4455805990996,4.47032928830703 44.4450777388375,4.46927692350142 44.4436183428256,4.46814103272455 44.4424340675513,4.46714318494344 44.4420840936105,4.46687376130182 44.4417970701883,4.46628184487296 44.4385234808458,4.4654974203574 44.4376015440148,4.46388145208849 44.4371992176313,4.46224141898316 44.4378264271788,4.46539751949561 44.4438070314021,4.46715288070291 44.4461587203139,4.46876881077914 44.4469801608495,4.46990521294269 44.4476399769397,4.47184856906522 44.4486817101733,4.47452503743125 44.4491837560181)))";29;Fontbelle;2856;Vautour percnoptere et vautour fauve;reposoir;oui;oui;oui;oui;oui;oui;oui;oui;oui;non;non;non;non;non;non;non;non;non;non;oui;;;;non;
"MULTIPOLYGON (((4.41663337810283 44.375570225677,4.41300086502566 44.3758653083869,4.40951878915909 44.3771056146341,4.40792058425051 44.3793149610014,4.40787569147625 44.3809192058308,4.40790492991128 44.3813811299294,4.40831391076268 44.3819206460279,4.40929655219761 44.3822272861954,4.41083011274448 44.3816756204176,4.41237766781521 44.3816861792065,4.41373945474534 44.3818967110408,4.41374406553376 44.3829302998739,4.41417968470881 44.3842471675054,4.41383241594771 44.3856196927341,4.41502439877134 44.385817189971,4.41626375974677 44.385789854092,4.41894860243871 44.3850788521519,4.42014196226213 44.3844858374922,4.42013437605556 44.3833382795458,4.41953901774795 44.3824187129655,4.41862755844895 44.3815716206857,4.418246475501 44.3811661112626,4.41819509146708 44.3803839366142,4.41823055492592 44.3796842473221,4.41864314733194 44.3783868718326,4.41954348102357 44.3775240269915,4.41943175868263 44.3768718379393,4.4185484289857 44.3762979978572,4.41663337810283 44.375570225677)))";20;Pont d'arc;2856;Vautour percnoptere;1er mars - 30 septembre;non;non;non;oui;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
"MULTIPOLYGON (((4.50413792642062 44.3388045014374,4.50425377608233 44.3388184007818,4.50444835919231 44.3388262437265,4.50472887964998 44.3388197911218,4.50499030190925 44.3388056198106,4.50529892961553 44.3388130023365,4.50548349303416 44.3388210418537,4.50574452675164 44.3388293656514,4.50595755158619 44.3388278449725,4.50611046544406 44.3387951301783,4.50615927451093 44.3386628262418,4.50612948884224 44.3385401753702,4.50612923605098 44.3384358304099,4.50615688028972 44.3382094910603,4.50620560078788 44.3380097212517,4.50634203512744 44.3377767288046,4.50649459643628 44.3376045873153,4.50665916259583 44.3374187142127,4.50679446442874 44.3372541108418,4.50695807993853 44.337108736696,4.50709256258391 44.3370206124881,4.50734391615307 44.3368752979748,4.50757633651409 44.3367591443794,4.50777820632901 44.3366633864617,4.50814561684186 44.3365049743125,4.50855070174421 44.336348512437,4.50884986999664 44.3362733119943,4.50913192521387 44.3361768605658,4.50939275160833 44.3361150131894,4.5096912191014 44.3360542174121,4.5103648537848 44.3357763751623,4.51182498274063 44.3352877031153,4.51235680039254 44.3350054685957,4.51241509490975 44.3348270953267,4.51220137958064 44.3346478292687,4.51190109906822 44.3345638375118,4.51161198210997 44.3345093089909,4.51135215551874 44.3344667920093,4.51115752222739 44.3344247790323,4.51083826994618 44.3344338166643,4.51034379957008 44.3343842613153,4.50927635887276 44.3343946495441,4.50916927506083 44.3346081724149,4.50873863355794 44.3349468562965,4.50776833484612 44.3353322215828,4.50701972868992 44.3355836469195,4.50667756490125 44.3356488995411,4.50619981821145 44.3356106882907,4.50580431613374 44.3355600511192,4.50547762921926 44.3356366877755,4.50399171134845 44.3363038986491,4.50342544656375 44.3365390961952,4.50319952237392 44.3366614092665,4.50317595994051 44.3369290467843,4.50321566960731 44.3371144715688,4.5032258137909 44.3372806907993,4.50328458678909 44.3374729350007,4.50333206311993 44.3376321187039,4.5033795932517 44.3377274320521,4.5034784898741 44.3378873975094,4.50352639086727 44.3380249831572,4.50360591445322 44.3381700392059,4.5036625832638 44.3383074513403,4.50377003251898 44.3384942344277,4.50413792642062 44.3388045014374)))";14;Falaise des Templiers;2938;Faucon pelerin;1er fevrier-30 juin;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;non;;;;non;
